1 39.096000
2 138.473100
3 162.382500
4 193.655300
5 209.575200
6 207.242800
7 215.677700
8 207.771200
9 210.348000
10 215.638100
11 216.018600
12 207.821200
13 209.847000
14 252.011400
15 219.369800
16 221.037000
17 217.414300
18 229.403800
19 235.029300
20 243.637800
21 226.051600
22 224.328400
23 226.793100
24 237.961400
25 220.683400
26 246.225300
27 234.892000
28 220.110700
29 227.652000
30 249.102000
31 226.209400
32 228.382700
33 223.454300
34 216.196900
35 239.340700
36 220.988000
37 249.654400
38 233.916400
39 237.026800
40 248.227600
41 246.069800
42 231.749600
43 242.060100
44 225.308500
45 224.175600
46 233.825600
47 221.869700
48 238.969200
49 230.410800
50 224.062900
51 224.031900
52 210.211300
53 223.405500
54 235.302600
55 216.522700
56 208.104100
57 225.221100
58 224.161600
59 209.141100
60 229.262900
61 207.047700
62 230.674700
63 241.814300
64 219.972400
65 224.962300
66 231.973600
67 218.783700
68 236.086800
69 211.114400
70 244.838400
71 212.010700
72 224.888300
73 220.705900
74 206.724800
75 213.661500
76 205.804600
77 227.002700
78 218.218000
79 202.115600
80 216.725300
81 234.459400
82 217.361600
83 231.637100
84 218.724600
85 195.365100
86 229.195200
87 225.704300
88 197.652800
89 230.154300
90 217.799800
91 227.656300
92 220.826100
93 198.950700
94 220.892500
95 242.481600
96 233.968300
97 206.331700
98 211.945500
99 229.472000
100 216.660400
